VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB6K,King,Seattle,WA,98178,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,101250425,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902
5YJYGAEE5M,Yakima,Selah,WA,98942,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,224162858,POINT (-120.53145 46.65405),PACIFICORP,53077003100
5YJSA1E65N,Yakima,Granger,WA,98932,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,187279214,POINT (-120.1871 46.33949),PACIFICORP,53077002104
5YJ3E1EBXN,King,Bellevue,WA,98004,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,219428079,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902
JM3KKEHA8S,Thurston,Yelm,WA,98597,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,277791643,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJSA1E45H,Thurston,Olympia,WA,98512,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,152371775,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
5YJ3E1EB6J,King,Burien,WA,98166,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,34,278247826,POINT (-122.34134 47.46593),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500
1N4BZ1CP3K,Snohomish,Snohomish,WA,98290,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,39,113148129,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203
KM8K23AGXL,King,Seattle,WA,98125,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,46,145686754,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101
1N4AZ0CP2F,King,Bellevue,WA,98006,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,268997830,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
1N4AZ0CP6F,King,Kirkland,WA,98033,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,48,128319159,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501
5YJYGDEE2M,King,Bothell,WA,98011,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,144130570,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
7JRBR0FL8K,King,Seattle,WA,98125,2019,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,46,208712598,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202
1G1RD6E45E,Yakima,Yakima,WA,98908,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,142474272,POINT (-120.60199 46.59817),PACIFICORP,53077000903
JTDKAMFP1M,Kitsap,Bremerton,WA,98337,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,26,156465963,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
7SAYGDEE7N,Yakima,Yakima,WA,98908,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,216648813,POINT (-120.60199 46.59817),PACIFICORP,53077002801
1N4AZ1CP7K,King,Renton,WA,98055,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,11,226088971,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
7SAXCBE61P,Kitsap,Silverdale,WA,98383,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262321321,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
5YJ3E1EB7J,King,Kent,WA,98030,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,47,207456623,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505
1N4AZ0CP3D,King,Redmond,WA,98052,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,45,176767076,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
JTJHKCFZ8P,King,Redmond,WA,98052,2023,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,45,236403296,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
1FT6W5L73R,Kitsap,Poulsbo,WA,98370,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,271508961,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EB6L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,3354571,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EA3K,Thurston,Olympia,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,476802679,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011810
5YJ3E1EA1K,King,Kirkland,WA,98034,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,100899858,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJ3E1EB5K,Kitsap,Poulsbo,WA,98370,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,144826083,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
YV4ED3GB2N,Thurston,Olympia,WA,98512,2022,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,196428809,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011000
JN1BF0BA7P,Thurston,Olympia,WA,98501,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,238436845,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010700
YV4BR0CK4M,King,Seattle,WA,98101,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,36,170316877,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202
5UXTA6C07M,Snohomish,Mill Creek,WA,98012,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,151016288,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052008
JN1AZ0CP0B,Kitsap,Bainbridge Island,WA,98110,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,126817778,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090700
5YJ3E1EA7M,Thurston,Yelm,WA,98597,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,271060730,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
1N4AZ1CP5J,King,Kirkland,WA,98033,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,48,248988274,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501
1G1RB6S57H,King,Burien,WA,98146,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,34,103340226,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
5YJSA1E2XH,King,Seattle,WA,98107,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,43,329236610,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
5YJ3E1EA3J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,295732972,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
5YJXCAE29L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23,1843054,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091206
5YJSA1CN2C,Thurston,Yelm,WA,98597,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,2,183278280,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJ3E1EB3L,King,Sammamish,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41,8152749,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224
5YJ3E1EB7K,Yakima,Selah,WA,98942,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,215009826,POINT (-120.53145 46.65405),PACIFICORP,53077003200
WBY1Z4C55E,Thurston,Yelm,WA,98597,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,2,312944376,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
5YJ3E1EB3J,King,Auburn,WA,98002,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,31,232662251,POINT (-122.2217 47.30661),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030600
1N4AZ0CP4D,Kitsap,Kingston,WA,98346,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,176159819,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
5LMYJ8XY9M,Thurston,Yelm,WA,98597,2021,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,2,161233173,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
5YJYGDEE3L,King,Seattle,WA,98109,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,36,107503133,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002
JTMFB3FV4P,King,Seattle,WA,98199,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,36,235081794,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700
5YJ3E1EA5S,King,Sammamish,WA,98029,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,277000965,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223
KNDPYDDH2R,Kitsap,Poulsbo,WA,98370,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,23,264705717,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
1G1FX6S00H,King,Seattle,WA,98109,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,36,293742053,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000
5UXTA6C06N,King,Sammamish,WA,98074,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,45,193646771,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225
WA1E2AFY0R,Kitsap,Bainbridge Island,WA,98110,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,23,273916926,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091001
1N4AZ0CP7F,Thurston,Tenino,WA,98589,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,20,171077357,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012620
1N4AZ0CP4D,King,Seattle,WA,98116,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,34,303944882,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702
3C3CFFGE4G,King,Seattle,WA,98177,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,477093326,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402
5YJ3E1EB6K,King,Shoreline,WA,98133,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,32,338140120,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021000
YV4BR0DM9N,King,Bellevue,WA,98005,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,48,179356943,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701
5YJ3E1EB0K,King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,45,258543701,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324
5YJ3E1EB4J,Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,241431592,POINT (-120.52041 46.59751),PACIFICORP,53077001202
JTMAB3FV1R,Kitsap,Bremerton,WA,98310,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,267139813,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
5YJ3E1EA6L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,22,6217662,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1C4RJXR68R,Snohomish,Everett,WA,98204,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,21,276712278,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041815
1FMCU0E15P,King,Kirkland,WA,98033,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,48,270927310,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
1N4AZ0CP9F,Kitsap,Bainbridge Island,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,265257807,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
1G1FX6S02H,Kitsap,Kingston,WA,98346,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,477830503,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035940000
YV4BC0PL3H,King,Seattle,WA,98112,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,43,121226941,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
5YJ3E1EA7K,Kitsap,Silverdale,WA,98383,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,476442522,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035090400
WBY2Z6C53K,King,Bellevue,WA,98005,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,41,254313769,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604
5UXTA6C01N,Kitsap,Bainbridge Island,WA,98110,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,179238895,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
JN1AZ0CP2C,Kitsap,Bremerton,WA,98310,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,129945245,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080200
5YJ3E1EA7J,King,Seattle,WA,98122,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37,208393776,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007902
7SAYGDEE5N,Snohomish,Lake Stevens,WA,98258,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,186096669,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061053505
5YJ3E1EB9J,King,Kenmore,WA,98028,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46,224388762,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101
3FA6P0SU6L,Thurston,Rainier,WA,98576,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,117687048,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012531
5YJ3E1EB2L,Thurston,Olympia,WA,98501,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,35,128798624,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011722
1N4AZ1CP8J,King,Seattle,WA,98136,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,34,125707592,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
5YJYGDEE9L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,115490903,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
7PDSGABA0P,Kitsap,Bainbridge Island,WA,98110,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,276855162,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091001
ZACPDFDW2R,Kitsap,Bremerton,WA,98312,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,258036929,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035091301
1N4AZ0CPXF,King,Shoreline,WA,98155,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,202861893,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
1N4AZ1CP0K,Kitsap,Bremerton,WA,98337,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,26,297132314,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035081200
5YJSA1H48F,Thurston,Olympia,WA,98501,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,22,260841878,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
7SAYGDEF9N,Thurston,Tenino,WA,98589,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,224330550,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012620
5YJSA1E22J,King,Seattle,WA,98177,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,32,200539230,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
5YJSA1H44F,Kitsap,Seabeck,WA,98380,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,35,206285075,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035091301
JTJCJMGAXR,Thurston,Olympia,WA,98501,2024,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,22,271581446,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
5LMYJ8XY1P,King,Kent,WA,98042,2023,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,47,261632514,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708
JTMABABA6P,Kitsap,Bremerton,WA,98310,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,240460559,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035091800
KNDAFFS53R,Skagit,La Conner,WA,98257,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,271660686,POINT (-122.49724 48.38874),PUGET SOUND ENERGY INC,53057952100
5YJ3E1EA9J,Thurston,Lacey,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,151777167,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011627
1N4BZ0CP7G,King,Sammamish,WA,98074,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,45,108013846,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317
3MW39FS02P,Kitsap,Port Orchard,WA,98367,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,35,244137120,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
1N4BZ0CPXG,King,Seattle,WA,98122,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,123750616,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007700
5YJ3E1EAXK,King,Seattle,WA,98133,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,32,239885033,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000404
KM8JFDD26R,Yakima,Selah,WA,98942,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,15,273024629,POINT (-120.53145 46.65405),PACIFICORP,53077003400
5YJ3E1EB8J,King,Sammamish,WA,98075,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,41,347418676,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224
1FMCU0E14P,King,Seattle,WA,98101,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,43,260203576,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008101
1FTVW1EV9P,Yakima,Yakima,WA,98901,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,230080511,POINT (-120.50729 46.60464),PACIFICORP,53077001602
5YJ3E1EB3J,Kitsap,Silverdale,WA,98383,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,473696919,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035090400
5YJSA1E18H,Kitsap,Poulsbo,WA,98370,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,23,227446726,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
KNDCC3LG7L,Kitsap,Poulsbo,WA,98370,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23,237667769,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
KNDCS3LF1R,Kitsap,Bremerton,WA,98312,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,35,268713553,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035092000
